datetime,24_HR_PCP
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,0.0
2022-02-19,0.0
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.25
2022-02-23,177.8
2022-02-24,0.76
2022-02-25,0.25
2022-02-26,178.56
2022-02-27,0.0
2022-02-28,178.31
2022-03-01,0.76
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,4.06
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.25
2022-04-10,0.0
2022-04-11,3.3
2022-04-12,0.0
2022-04-13,1.78
2022-04-14,0.76
2022-04-15,0.0
2022-04-16,4.06
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.76
2022-04-20,0.0
2022-04-21,0.76
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,2.54
2022-04-27,0.0
2022-04-28,2.54
2022-04-29,0.0
2022-04-30,5.08
2022-05-01,0.51
2022-05-02,0.25
2022-05-03,3.3
2022-05-04,0.25
2022-05-05,0.0
2022-05-06,0.25
2022-05-07,0.25
2022-05-08,1.78
2022-05-09,8.64
2022-05-10,219.96
2022-05-11,0.0
2022-05-12,0.76
2022-05-13,0.51
2022-05-14,1.02
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.51
2022-05-26,0.0
2022-05-27,4.32
2022-05-28,2.54
2022-05-29,0.0
2022-05-30,7.87
2022-05-31,0.76
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,0.51
2022-06-04,1.78
2022-06-05,3.56
2022-06-06,0.51
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-11,0.0
2022-06-12,15.24
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.76
2022-06-16,0.0
2022-06-17,0.0
2022-06-18,0.0
2022-06-19,260.35
2022-06-20,0.0
2022-06-21,0.0
2022-06-22,0.0
