datetime,AVG_TMP
2016-07-10,61.04
2016-07-11,65.0
2016-07-12,64.1
2016-07-13,66.32
2016-07-14,67.09
2016-07-15,62.78
2016-07-16,61.94
2016-07-17,61.74
2016-07-18,66.15
2016-07-19,65.16
2016-07-20,65.44
2016-07-21,65.98
2016-07-22,67.5
2016-07-23,65.88
2016-07-24,70.03
2016-07-25,69.83
2016-07-26,69.01
2016-07-27,71.5
2016-07-28,75.08
2016-07-29,75.95
2016-07-30,66.86
2016-07-31,62.42
2016-08-01,66.7
2016-08-02,61.3
2016-08-03,67.0
2016-08-04,75.0
2016-08-05,66.7
2016-08-06,62.43
2016-08-07,60.07
2016-08-08,58.97
2016-08-09,61.66
2016-08-10,67.28
2016-08-11,71.18
2016-08-12,74.63
2016-08-13,76.0
2016-08-14,73.16
2016-08-15,71.2
2016-08-16,69.64
2016-08-17,67.53
2016-08-18,75.4
2016-08-19,82.86
2016-08-20,78.7
2016-08-21,66.08
2016-08-22,64.65
2016-08-23,65.63
2016-08-24,72.08
2016-08-25,80.4
2016-08-26,80.13
2016-08-27,66.3
2016-08-28,67.74
2016-08-29,64.76
2016-08-30,60.92
2016-08-31,60.54
2016-09-01,61.54
2016-09-02,63.9
2016-09-03,56.66
2016-09-04,57.87
2016-09-05,60.28
2016-09-06,60.97
2016-09-07,67.12
2016-09-08,61.88
2016-09-09,65.49
2016-09-10,70.79
2016-09-11,63.23
2016-09-12,63.98
2016-09-13,68.82
2016-09-14,61.54
2016-09-15,60.65
2016-09-16,65.04
2016-09-17,57.68
2016-09-18,60.33
2016-09-19,56.28
2016-09-20,59.7
2016-09-21,56.54
2016-09-22,55.78
2016-09-23,54.38
2016-09-24,59.55
2016-09-25,63.72
2016-09-26,69.96
2016-09-27,64.34
2016-09-28,61.38
2016-09-29,57.17
2016-09-30,51.8
2016-10-01,56.36
2016-10-02,53.96
2016-10-03,50.17
2016-10-04,56.8
2016-10-05,56.13
2016-10-06,55.93
2016-10-07,59.01
2016-10-08,63.96
2016-10-09,63.54
2016-10-10,53.06
2016-10-11,51.72
2016-10-12,47.89
2016-10-13,56.01
2016-10-14,58.86
2016-10-15,55.94
2016-10-16,51.76
2016-10-17,55.34
2016-10-18,51.75
2016-10-19,48.69
2016-10-20,57.41
2016-10-21,57.53
2016-10-22,51.28
2016-10-23,55.42
2016-10-24,51.15
2016-10-25,54.75
2016-10-26,58.62
2016-10-27,54.22
2016-10-28,55.74
2016-10-29,56.31
2016-10-30,51.28
2016-10-31,56.3
2016-11-01,52.7
2016-11-02,56.2
2016-11-03,52.92
2016-11-04,52.8
2016-11-05,52.82
2016-11-06,54.01
2016-11-07,54.75
2016-11-08,54.56
2016-11-09,56.8
2016-11-10,55.36
2016-11-11,52.11
2016-11-12,52.28
2016-11-13,51.12
2016-11-14,54.64
2016-11-15,50.32
2016-11-16,44.9
2016-11-17,46.4
2016-11-18,44.06
2016-11-19,52.55
2016-11-20,52.49
2016-11-21,48.43
2016-11-22,46.54
2016-11-23,46.02
2016-11-24,48.33
2016-11-25,48.76
2016-11-26,47.63
2016-11-27,44.82
2016-11-28,47.42
2016-11-29,44.46
2016-11-30,43.61
2016-12-01,41.72
2016-12-02,45.58
2016-12-03,46.02
2016-12-04,40.85
2016-12-05,37.26
2016-12-06,34.88
2016-12-07,33.22
2016-12-08,30.88
2016-12-09,39.58
2016-12-10,42.3
2016-12-11,44.37
2016-12-12,41.08
2016-12-13,34.84
2016-12-14,30.38
2016-12-15,28.46
2016-12-16,28.27
2016-12-17,24.38
2016-12-18,29.24
2016-12-19,36.97
2016-12-20,41.06
2016-12-21,32.33
2016-12-22,35.03
2016-12-23,39.47
2016-12-24,37.36
2016-12-25,34.62
2016-12-26,32.88
2016-12-27,44.24
2016-12-28,35.78
2016-12-29,40.91
2016-12-30,40.42
2016-12-31,34.53
2017-01-01,35.88
2017-01-02,31.45
2017-01-03,31.16
2017-01-04,30.28
2017-01-05,25.86
2017-01-06,25.17
2017-01-07,26.21
2017-01-08,31.64
2017-01-09,37.36
2017-01-10,35.67
2017-01-11,33.26
2017-01-12,29.6
2017-01-13,25.34
2017-01-14,25.59
2017-01-15,27.26
2017-01-16,31.16
2017-01-17,38.97
2017-01-18,49.01
2017-01-19,45.0
2017-01-20,44.59
2017-01-21,42.32
2017-01-22,43.37
2017-01-23,40.87
2017-01-24,37.84
2017-01-25,40.42
2017-01-26,43.74
2017-01-27,36.52
2017-01-28,35.87
2017-01-29,39.7
2017-01-30,43.14
2017-01-31,40.59
2017-02-01,37.8
2017-02-02,38.01
2017-02-03,39.25
2017-02-04,49.5
2017-02-05,42.14
2017-02-06,40.26
2017-02-07,38.08
2017-02-08,47.27
2017-02-09,52.54
2017-02-10,43.79
2017-02-11,42.6
2017-02-12,40.51
2017-02-13,43.72
2017-02-14,40.01
2017-02-15,50.32
2017-02-16,50.21
2017-02-17,47.5
2017-02-18,47.6
2017-02-19,44.8
2017-02-20,47.04
2017-02-21,42.42
2017-02-22,39.8
2017-02-23,38.28
2017-02-24,36.08
2017-02-25,40.3
2017-02-26,38.74
2017-02-27,37.53
2017-02-28,41.69
2017-03-01,43.8
2017-03-02,41.9
2017-03-03,44.72
2017-03-04,41.64
2017-03-05,38.0
2017-03-06,38.16
2017-03-07,44.19
2017-03-08,48.16
2017-03-09,54.04
2017-03-10,53.4
2017-03-11,49.84
2017-03-12,53.24
2017-03-13,52.54
2017-03-14,54.98
2017-03-15,50.69
2017-03-16,45.92
2017-03-17,44.44
2017-03-18,48.3
2017-03-19,44.36
2017-03-20,46.36
2017-03-21,54.28
2017-03-22,48.08
2017-03-23,44.62
2017-03-24,50.32
2017-03-25,48.43
2017-03-26,47.24
2017-03-27,48.32
2017-03-28,53.76
2017-03-29,49.98
2017-03-30,47.62
2017-03-31,44.66
2017-04-01,51.04
2017-04-02,48.11
2017-04-03,44.11
2017-04-04,49.47
2017-04-05,51.9
2017-04-06,55.28
2017-04-07,48.22
2017-04-08,45.94
2017-04-09,46.67
2017-04-10,48.96
2017-04-11,45.5
2017-04-12,52.2
2017-04-13,49.01
2017-04-14,46.11
2017-04-15,46.03
2017-04-16,51.96
2017-04-17,52.3
2017-04-18,54.95
2017-04-19,51.14
2017-04-20,51.5
2017-04-21,52.08
2017-04-22,54.8
2017-04-23,51.12
2017-04-24,51.48
2017-04-25,48.48
2017-04-26,50.62
2017-04-27,48.24
2017-04-28,45.93
2017-04-29,50.68
2017-04-30,52.04
2017-05-01,47.15
2017-05-02,59.04
2017-05-03,64.97
2017-05-04,67.9
2017-05-05,51.11
2017-05-06,48.3
2017-05-07,50.01
