datetime,AVG_TMP
2016-04-29,51.94
2016-04-30,55.04
2016-05-01,59.48
2016-05-02,63.22
2016-05-03,57.1
2016-05-04,59.62
2016-05-05,56.39
2016-05-06,64.85
2016-05-07,68.52
2016-05-08,61.5
2016-05-09,58.89
2016-05-10,59.04
2016-05-11,64.0
2016-05-12,66.26
2016-05-13,68.59
2016-05-14,58.8
2016-05-15,61.04
2016-05-16,60.64
2016-05-17,63.46
2016-05-18,65.68
2016-05-19,54.88
2016-05-20,52.56
2016-05-21,53.34
2016-05-22,54.66
2016-05-23,55.8
2016-05-24,60.78
2016-05-25,61.56
2016-05-26,59.54
2016-05-27,55.74
2016-05-28,58.68
2016-05-29,61.94
2016-05-30,65.38
2016-05-31,70.68
2016-06-01,71.35
2016-06-02,67.97
2016-06-03,75.38
2016-06-04,77.9
2016-06-05,80.96
2016-06-06,81.27
2016-06-07,79.06
2016-06-08,69.85
2016-06-09,63.32
2016-06-10,59.9
2016-06-11,57.57
2016-06-12,64.8
2016-06-13,60.41
2016-06-14,57.7
2016-06-15,53.62
2016-06-16,55.72
2016-06-17,56.32
2016-06-18,60.2
2016-06-19,62.08
2016-06-20,65.29
2016-06-21,68.34
2016-06-22,67.08
2016-06-23,64.13
2016-06-24,64.51
2016-06-25,67.62
2016-06-26,71.92
2016-06-27,74.27
2016-06-28,74.96
2016-06-29,71.7
2016-06-30,71.31
2016-07-01,70.69
2016-07-02,71.93
2016-07-03,74.32
2016-07-04,68.17
2016-07-05,67.73
2016-07-06,68.49
2016-07-07,71.31
2016-07-08,62.82
2016-07-09,65.62
2016-07-10,61.13
2016-07-11,66.81
2016-07-12,71.4
2016-07-13,69.8
2016-07-14,71.73
2016-07-15,69.78
2016-07-16,67.53
2016-07-17,66.76
2016-07-18,70.62
2016-07-19,68.31
2016-07-20,70.97
2016-07-21,72.22
2016-07-22,70.31
2016-07-23,70.01
2016-07-24,73.57
2016-07-25,75.68
2016-07-26,76.23
2016-07-27,76.37
2016-07-28,80.55
2016-07-29,81.94
2016-07-30,77.95
2016-07-31,72.37
2016-08-01,71.58
2016-08-02,69.27
2016-08-03,70.46
2016-08-04,76.36
2016-08-05,73.56
2016-08-06,70.93
2016-08-07,67.76
2016-08-08,67.18
2016-08-09,68.21
2016-08-10,71.32
2016-08-11,73.61
2016-08-12,79.11
2016-08-13,79.2
2016-08-14,78.04
2016-08-15,77.24
2016-08-16,77.19
2016-08-17,75.62
2016-08-18,79.61
2016-08-19,82.77
2016-08-20,82.72
2016-08-21,76.99
2016-08-22,72.03
2016-08-23,67.16
2016-08-24,70.42
2016-08-25,72.47
2016-08-26,74.26
2016-08-27,73.83
2016-08-28,74.15
2016-08-29,69.24
2016-08-30,67.38
2016-08-31,66.04
2016-09-01,67.25
2016-09-02,64.72
2016-09-03,60.6
2016-09-04,58.88
2016-09-05,59.02
2016-09-06,59.18
2016-09-07,64.92
2016-09-08,66.97
2016-09-09,69.56
2016-09-10,70.44
2016-09-11,66.6
2016-09-12,60.04
2016-09-13,61.63
2016-09-14,61.17
2016-09-15,63.94
2016-09-16,65.69
2016-09-17,69.1
2016-09-18,71.61
2016-09-19,63.98
2016-09-20,61.06
2016-09-21,55.91
2016-09-22,58.16
2016-09-23,48.84
2016-09-24,64.33
2016-09-25,67.9
2016-09-26,73.18
2016-09-27,71.28
2016-09-28,68.26
2016-09-29,63.33
2016-09-30,56.61
2016-10-01,52.96
2016-10-02,48.44
2016-10-03,49.8
2016-10-04,53.81
2016-10-05,54.72
2016-10-06,55.53
2016-10-07,61.73
2016-10-08,63.42
2016-10-09,62.92
2016-10-10,59.44
2016-10-11,62.9
2016-10-12,57.1
2016-10-13,56.44
2016-10-14,56.44
2016-10-15,53.47
2016-10-16,46.22
2016-10-17,51.13
2016-10-18,52.4
2016-10-19,50.98
2016-10-20,54.13
2016-10-21,54.42
2016-10-22,49.12
2016-10-23,47.58
2016-10-24,49.72
2016-10-25,49.13
2016-10-26,60.41
2016-10-27,47.11
2016-10-28,50.15
2016-10-29,48.77
2016-10-30,52.16
2016-10-31,48.4
2016-11-01,52.67
2016-11-02,49.71
2016-11-03,53.4
2016-11-04,53.06
2016-11-05,49.55
2016-11-06,53.42
2016-11-07,54.12
2016-11-08,54.58
2016-11-09,53.6
2016-11-10,55.93
2016-11-11,52.38
2016-11-12,54.14
2016-11-13,53.26
2016-11-14,49.52
2016-11-15,49.42
2016-11-16,41.18
2016-11-17,42.8
2016-11-18,44.77
2016-11-19,51.12
2016-11-20,48.14
2016-11-21,44.29
2016-11-22,40.75
2016-11-23,42.26
2016-11-24,46.5
2016-11-25,51.2
2016-11-26,49.08
2016-11-27,42.06
2016-11-28,43.47
2016-11-29,42.56
2016-11-30,41.68
2016-12-01,36.72
2016-12-02,38.5
2016-12-03,41.61
2016-12-04,39.94
2016-12-05,34.29
2016-12-06,35.14
2016-12-07,32.38
2016-12-08,41.39
2016-12-09,44.51
2016-12-10,42.5
2016-12-11,38.47
2016-12-12,39.04
2016-12-13,36.05
2016-12-14,37.48
2016-12-15,42.99
2016-12-16,33.7
2016-12-17,29.07
2016-12-18,30.36
2016-12-19,30.59
2016-12-20,38.48
2016-12-21,36.9
2016-12-22,32.71
2016-12-23,36.5
2016-12-24,33.9
2016-12-25,33.0
2016-12-26,29.35
2016-12-27,35.99
2016-12-28,37.33
2016-12-29,34.92
2016-12-30,34.04
2016-12-31,31.62
2017-01-01,30.54
2017-01-02,32.6
2017-01-03,32.2
2017-01-04,29.72
2017-01-05,19.18
2017-01-06,14.72
2017-01-07,33.41
2017-01-08,36.27
2017-01-09,36.24
2017-01-10,34.08
2017-01-11,37.86
2017-01-12,36.11
2017-01-13,32.62
2017-01-14,33.39
2017-01-15,33.57
2017-01-16,35.72
2017-01-17,38.71
2017-01-18,46.4
2017-01-19,43.88
2017-01-20,44.78
2017-01-21,42.99
2017-01-22,42.06
2017-01-23,36.95
2017-01-24,36.65
2017-01-25,33.92
2017-01-26,39.98
2017-01-27,38.26
2017-01-28,35.99
2017-01-29,36.39
2017-01-30,39.14
2017-01-31,39.55
2017-02-01,41.08
2017-02-02,48.94
2017-02-03,48.3
2017-02-04,48.78
2017-02-05,50.78
2017-02-06,41.46
2017-02-07,46.3
2017-02-08,44.78
2017-02-09,51.0
2017-02-10,42.58
2017-02-11,41.36
2017-02-12,40.56
2017-02-13,46.42
2017-02-14,44.44
2017-02-15,56.12
2017-02-16,48.95
2017-02-17,41.94
2017-02-18,46.72
2017-02-19,42.87
2017-02-20,48.6
2017-02-21,45.36
2017-02-22,37.62
2017-02-23,37.04
2017-02-24,34.92
2017-02-25,39.52
2017-02-26,34.2
2017-02-27,37.42
2017-02-28,42.44
2017-03-01,41.24
2017-03-02,42.37
2017-03-03,39.04
2017-03-04,44.11
2017-03-05,35.84
2017-03-06,38.52
2017-03-07,42.28
2017-03-08,47.1
2017-03-09,52.1
2017-03-10,54.62
2017-03-11,48.3
2017-03-12,52.62
2017-03-13,51.35
2017-03-14,53.06
2017-03-15,54.04
2017-03-16,51.18
2017-03-17,47.1
2017-03-18,55.83
2017-03-19,55.32
2017-03-20,56.83
2017-03-21,54.36
2017-03-22,50.29
2017-03-23,47.88
2017-03-24,47.94
2017-03-25,46.1
2017-03-26,46.9
2017-03-27,47.04
2017-03-28,50.48
2017-03-29,51.11
2017-03-30,46.52
2017-03-31,47.96
2017-04-01,52.78
2017-04-02,52.37
2017-04-03,46.94
2017-04-04,51.8
2017-04-05,57.62
2017-04-06,54.47
2017-04-07,47.24
2017-04-08,45.66
2017-04-09,43.48
2017-04-10,45.39
2017-04-11,49.25
2017-04-12,50.76
2017-04-13,44.4
2017-04-14,44.81
2017-04-15,47.67
2017-04-16,50.14
2017-04-17,49.19
2017-04-18,54.91
2017-04-19,50.25
2017-04-20,49.82
2017-04-21,54.17
2017-04-22,54.26
2017-04-23,50.7
2017-04-24,51.7
2017-04-25,47.96
2017-04-26,52.28
2017-04-27,48.12
2017-04-28,48.66
2017-04-29,53.08
2017-04-30,58.52
2017-05-01,56.51
2017-05-02,65.28
2017-05-03,69.02
2017-05-04,71.36
2017-05-05,53.72
2017-05-06,50.48
2017-05-07,51.38
2017-05-08,56.86
2017-05-09,62.54
2017-05-10,61.64
2017-05-11,53.44
2017-05-12,49.32
2017-05-13,50.48
2017-05-14,54.14
2017-05-15,55.68
2017-05-16,50.33
2017-05-17,49.82
2017-05-18,56.79
2017-05-19,62.64
2017-05-20,63.61
2017-05-21,64.72
2017-05-22,72.48
2017-05-23,75.06
