OPENET_ID,Acres,ACRES_FTR_GEOM,HUC8_name,HUC8,GRIDMET_ID,HUC12_name,HUC12,OWRD,Region,ITYPE,srctype,IRR_EFF
ORx_158823,95.42363687162461,95.24491129,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158908,20.462905226880643,20.4085009,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,1.0,0.5
ORx_158909,5.559209741604182,5.547570569,Lost,18010204,573879,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,1.0,0.5
ORx_158910,2.802898053286675,2.803589756,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158911,28.202162564175946,28.18369366,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,4.0,1.0,0.65
ORx_158912,35.411518208268454,35.33977928,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158913,59.45809824257977,59.34187119,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158914,7.257262771971846,7.21995105,Lost,18010204,572493,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158929,863.0352390508342,861.6763066,Lost,18010204,572492,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,2.0,0.5
ORx_158930,246.84338040703355,246.4572894,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,3.0,0.5
ORx_158931,214.92178918661165,214.5676085,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,1.0,0.5
ORx_158828,71.99954407031143,71.88704385,Lost,18010204,572494,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158833,5.758990812199184,5.754658854,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158829,95.6008255069913,95.42961141,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158830,9.149949629156236,9.131569979,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,3.0,1.0,0.5
ORx_158845,12.023225744903717,12.00866178,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,1.0,0.0,0.85
ORx_158834,19.842235695512816,19.82437436,Lost,18010204,572494,Swan Lake,180102040804,14,18.0,4.0,1.0,0.65
ORx_158851,10.494686750384414,10.49400174,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158831,13.91853710962096,13.87764634,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158844,23.205210126887728,23.15755917,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158832,13.560046929504276,13.53927599,Lost,18010204,572494,Swan Lake,180102040804,14,18.0,4.0,1.0,0.65
ORx_158852,99.7300970175856,99.58080522,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,4.0,1.0,0.65
ORx_158842,21.20798009035825,21.17206315,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158841,179.00222903980676,178.6827759,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158843,7.578265332062506,7.566123472,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158837,85.80167820242316,85.65750231,Lost,18010204,573881,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158840,11.731339404026903,11.7120085,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158838,22.600796587464597,22.56037503,Lost,18010204,573881,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158853,33.27266874748536,33.45493187,Lost,18010204,573880,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158836,65.50016908985671,65.38454313,Lost,18010204,573880,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158839,2.087078567981958,2.08154309,Lost,18010204,573881,Swan Lake,180102040804,14,18.0,1.0,0.0,0.85
ORx_158835,73.35233555166796,73.25271749,Lost,18010204,573880,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158922,95.87844356083362,95.75557026,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158923,3.774647118921262,3.754988679,Lost,18010204,573880,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
